RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
179408,20211103,M,20대,경기도,300이상500만원 미만,3,3,2,3,3,3,3,2
196740,20211103,F,20대,울산광역시,700만원 이상,2,2,2,2,2,2,2,2
214604,20211103,M,20대,서울특별시,300만원 미만,2,2,3,2,3,2,2,2
215442,20211103,F,20대,광주광역시,300만원 미만,3,1,2,2,2,2,2,1
215964,20211103,F,20대,경기도,300만원 미만,3,3,2,2,3,3,3,3
218212,20211103,M,20대,서울특별시,300만원 미만,3,3,2,3,3,3,2,3
233019,20211103,M,20대,경기도,700만원 이상,2,3,2,2,2,3,1,1
268069,20211103,F,20대,대전광역시,300만원 미만,2,2,2,2,2,2,2,2
278084,20211103,F,20대,울산광역시,500이상700만원 미만,3,3,2,2,3,3,2,3
315133,20211103,F,20대,경상북도,무응답,2,2,2,3,2,2,2,2
317991,20211103,F,20대,경기도,300만원 미만,3,3,2,1,3,3,3,3
323855,20211103,M,20대,서울특별시,500이상700만원 미만,3,1,3,2,3,3,2,2
335431,20211103,F,20대,대전광역시,500이상700만원 미만,3,3,2,2,3,2,3,2
342712,20211103,F,20대,광주광역시,300만원 미만,3,3,1,2,3,3,3,3
348213,20211103,M,20대,서울특별시,300이상500만원 미만,3,3,1,3,3,3,3,3
348295,20211103,F,20대,충청북도,300이상500만원 미만,2,3,2,2,2,2,2,2
354188,20211103,M,20대,충청북도,300만원 미만,3,3,2,2,3,1,3,3
359722,20211103,M,20대,전라남도,700만원 이상,3,2,1,1,3,3,3,2
366365,20211103,M,20대,경기도,700만원 이상,2,2,3,3,2,3,3,3
366783,20211103,M,20대,경상남도,500이상700만원 미만,2,2,2,2,3,3,3,3
367336,20211103,F,20대,경기도,700만원 이상,1,1,2,3,1,3,2,2
368958,20211103,M,20대,서울특별시,700만원 이상,1,1,2,1,1,3,3,1
369153,20211103,M,20대,경기도,300만원 미만,3,3,3,3,3,3,3,3
369877,20211103,F,20대,부산광역시,무응답,3,3,3,3,3,3,2,2
377994,20211103,M,20대,강원도,500이상700만원 미만,2,2,1,3,2,2,2,2
385241,20211103,M,20대,경기도,300이상500만원 미만,2,2,1,1,2,2,2,2
393162,20211103,F,20대,경상남도,300만원 미만,2,2,2,2,2,3,2,2
394845,20211103,F,20대,광주광역시,무응답,2,2,3,3,2,2,2,2
400015,20211103,M,20대,서울특별시,700만원 이상,3,3,1,3,3,2,3,3
400158,20211103,F,20대,경기도,300이상500만원 미만,1,1,1,1,1,1,1,1
402635,20211103,M,20대,서울특별시,300이상500만원 미만,3,2,3,3,2,3,3,2
408809,20211103,M,20대,경기도,300만원 미만,1,2,1,1,1,1,1,2
411319,20211103,F,20대,경상북도,500이상700만원 미만,2,2,2,2,2,2,2,2
411720,20211103,F,20대,경기도,300만원 미만,3,3,3,3,3,3,3,3
411739,20211103,F,20대,서울특별시,300이상500만원 미만,3,3,3,3,3,3,3,1
412138,20211103,F,20대,서울특별시,무응답,3,3,2,2,3,3,3,2
412975,20211103,F,20대,경상남도,300만원 미만,1,1,2,3,3,3,3,3
417003,20211103,F,20대,서울특별시,300만원 미만,2,3,1,1,3,3,2,3
422345,20211103,M,20대,경기도,700만원 이상,1,1,1,1,2,3,2,2
422358,20211103,M,20대,경기도,700만원 이상,3,3,3,3,2,3,2,3
422468,20211103,F,20대,경상북도,300이상500만원 미만,3,3,3,3,3,3,3,3
422582,20211103,M,20대,서울특별시,300만원 미만,2,2,2,2,2,3,3,2
422795,20211103,F,20대,경기도,500이상700만원 미만,3,3,2,3,3,3,3,3
423973,20211103,M,20대,강원도,300만원 미만,2,1,1,1,2,3,3,2
423995,20211103,M,20대,전라남도,500이상700만원 미만,3,2,3,3,3,3,3,3
424048,20211103,M,20대,서울특별시,300만원 미만,3,3,3,2,3,3,2,2
425707,20211103,F,20대,경상남도,300이상500만원 미만,3,3,3,3,3,3,3,3
426416,20211103,M,20대,서울특별시,500이상700만원 미만,2,3,3,3,3,3,3,3
429242,20211103,M,20대,경기도,500이상700만원 미만,2,2,3,3,2,2,2,1
430170,20211103,F,20대,경상남도,300이상500만원 미만,3,3,3,2,3,3,3,3
430851,20211103,F,20대,경기도,700만원 이상,3,3,3,3,3,3,2,2
430879,20211103,F,20대,제주특별자치도,300이상500만원 미만,3,3,3,2,3,1,3,3
432795,20211103,M,20대,서울특별시,300이상500만원 미만,2,1,1,2,1,1,2,2
437130,20211103,M,20대,경상북도,300이상500만원 미만,2,2,3,3,2,2,2,2
437579,20211103,M,20대,대전광역시,무응답,3,3,1,3,2,3,3,3
438354,20211103,M,20대,경기도,300만원 미만,2,2,2,2,3,2,3,2
439407,20211103,M,20대,경기도,300만원 미만,1,1,1,2,3,3,1,1
441022,20211103,M,20대,울산광역시,300만원 미만,3,2,2,2,3,2,2,2
442683,20211103,M,20대,대구광역시,300만원 미만,3,3,3,3,3,3,3,3
443902,20211103,F,20대,강원도,300만원 미만,3,1,1,1,3,3,1,2
444094,20211103,F,20대,대구광역시,무응답,1,1,1,1,3,3,3,1
444154,20211103,M,20대,대전광역시,300만원 미만,1,1,2,2,1,3,3,2
444231,20211103,F,20대,경기도,700만원 이상,2,2,2,3,3,3,2,3
444357,20211103,F,20대,서울특별시,300이상500만원 미만,1,3,2,2,3,3,1,3
444496,20211103,M,20대,경기도,300만원 미만,2,3,3,3,2,3,2,2
444636,20211103,F,20대,대전광역시,700만원 이상,3,3,3,2,3,3,3,2
444786,20211103,F,20대,경기도,500이상700만원 미만,2,2,1,1,1,2,1,1
444835,20211103,M,20대,서울특별시,300이상500만원 미만,2,2,1,3,2,2,3,2
444836,20211103,M,20대,제주특별자치도,무응답,3,2,1,3,3,3,3,3
1008975,20211103,F,20대,광주광역시,300이상500만원 미만,1,1,1,1,1,3,1,1
2757418,20211103,F,20대,경기도,300만원 미만,2,1,1,3,3,3,2,1
2910358,20211103,F,20대,서울특별시,500이상700만원 미만,2,2,2,2,2,2,2,2
2955279,20211103,F,20대,경기도,700만원 이상,2,2,3,3,3,3,3,3
2957986,20211103,M,20대,서울특별시,700만원 이상,1,1,1,2,3,3,2,3
2959141,20211103,M,20대,서울특별시,300이상500만원 미만,2,3,2,3,2,3,2,3
3005257,20211103,F,20대,부산광역시,700만원 이상,3,2,2,2,3,3,3,2
3010626,20211103,M,20대,경기도,500이상700만원 미만,3,2,2,3,3,3,3,3
3020830,20211103,M,20대,서울특별시,300만원 미만,2,3,3,3,3,3,3,3
3023008,20211103,M,20대,경기도,700만원 이상,3,1,1,1,1,3,1,1
3034844,20211103,F,20대,경기도,무응답,3,3,1,3,3,3,3,1
3037617,20211103,F,20대,경기도,무응답,3,3,2,3,3,3,3,2
3039157,20211103,F,20대,서울특별시,300만원 미만,1,1,1,1,1,1,1,1
3039221,20211103,M,20대,서울특별시,300만원 미만,3,2,2,2,1,3,3,1
3085844,20211103,M,20대,경기도,700만원 이상,3,3,3,3,3,3,3,3
3088466,20211103,F,20대,경기도,500이상700만원 미만,3,2,1,3,3,3,2,2
3094496,20211103,M,20대,경기도,300이상500만원 미만,1,2,3,3,3,3,2,3
3142500,20211103,F,20대,경기도,300이상500만원 미만,3,2,3,3,3,3,2,3
3169715,20211103,M,20대,서울특별시,500이상700만원 미만,3,2,2,2,3,2,2,1
3170401,20211103,M,20대,부산광역시,700만원 이상,2,1,3,2,3,1,2,2
3170755,20211103,M,20대,경기도,300만원 미만,3,3,3,3,3,3,3,3
3205050,20211103,M,20대,경기도,700만원 이상,3,3,2,2,3,2,3,3
3211686,20211103,M,20대,경기도,300이상500만원 미만,2,2,2,2,2,2,2,2
3231416,20211103,M,20대,대전광역시,무응답,2,2,2,2,3,3,2,3
3232953,20211103,M,20대,서울특별시,무응답,3,3,2,2,3,3,3,3
3237739,20211103,F,20대,서울특별시,무응답,1,1,1,1,3,3,3,1
3238867,20211103,M,20대,경기도,300이상500만원 미만,2,3,2,1,3,3,3,3
3239785,20211103,F,20대,충청북도,700만원 이상,3,3,2,2,3,2,3,2
3243296,20211103,M,20대,경기도,무응답,2,2,2,2,1,3,2,2
50034614,20211103,M,20대,서울특별시,300만원 미만,2,2,2,3,1,3,3,2
50050729,20211103,M,20대,경기도,300만원 미만,2,2,2,3,3,2,2,2
50107266,20211103,F,20대,강원도,700만원 이상,2,2,2,2,2,3,3,2
50136564,20211103,M,20대,서울특별시,500이상700만원 미만,1,1,2,2,2,2,3,1
50170567,20211103,F,20대,서울특별시,300만원 미만,3,3,1,1,2,3,3,3
50171102,20211103,F,20대,서울특별시,300이상500만원 미만,1,1,1,1,2,3,1,3
50173584,20211103,F,20대,부산광역시,500이상700만원 미만,3,3,3,3,3,2,3,2
50176224,20211103,M,20대,경기도,500이상700만원 미만,3,2,2,1,3,3,3,1
50214786,20211103,F,20대,경기도,300이상500만원 미만,3,3,3,3,3,3,2,2
50215800,20211103,F,20대,대구광역시,700만원 이상,3,3,1,2,2,3,3,2
50220039,20211103,F,20대,대구광역시,300만원 미만,2,1,2,3,3,3,2,2
50220065,20211103,F,20대,경기도,300이상500만원 미만,1,3,2,3,3,3,3,3
